Title,Company,Location,Salary,Days,Summary
"Big-Data, Analytics Opportunities - Tech Savvy Talented Fres...",DataMetica,"Pune, Maharashtra",None,Just posted,"Being a preferred solutions provider, Datametica helps medium and large enterprises to consolidate their data into a modern data platform on the Cloud, move…"
Data Scientist (Techn),Ericsson,"Bengaluru, Karnataka",None,Just posted,"Understand approach for data science.
Contribute to perform data science experiment.
Assess the effectiveness of new data sources and data gathering techniques."
Intern Bachelors Data Science,Honeywell,"Bengaluru, Karnataka",None,Just posted,"Innovate to solve the world's most important challenges.
A Job posting does not exist for this global job code, please work with your HRG to develop oneA Job…"
Data Scientist,bajajallianz,"Pune, Maharashtra",None,3 days ago,"Insurance data science experience is a plus.
Machine Learning based data Products development.
One will be involved in many industry first data solutions…"
Trainee - Data Science,Yash Technologies,"Indore, Madhya Pradesh",None,5 days ago,"Hands-on with common data science libraries such as Pandas, NumPy, SciPy, Matplotlib, seaborn, etc.
Knowledge of data visualization and BI tools such as Tableau…"
Data Analyst,Larsen & Toubro Infotech Limited,India,None,4 days ago,Identify data quality issues and concerns and support the data governance initiative by being involved in various data initiatives.
Data Scientist resources,Globex Digital Solutions,"Pune, Maharashtra","₹5,00,000 - ₹15,00,000 a year",9 days ago,"Data Scientists to support the analysis of the data and the preparation of additional big data and data.
D. Developing reliable, autonomous and scalable data…"
Associate Data Scientist-(H/F),Société Générale,"Chennai, Tamil Nadu",None,Just posted,"Develop, process, cleanse and enhance data collection procedures from multiple data sources.
Experience with common data science toolkits, such as Scikit, NumPy…"
Data Scientist - Machine Reasoning,Ericsson,"Bengaluru, Karnataka",None,Just posted,"Define the data sourcing strategy and work with partners to procure data.
Design APIs for AI/ML models with focus on business, modularity and versioning; and…"
Data Science part time job/internship at Pune,Exa Mobility India Private Limited,"Pune, Maharashtra","₹10,000 - ₹20,000 a month",7 days ago,"Using tools/languages such as Excel, Tableau, and Python for data analysis and data visualization.
Vehicle profiling and assigning parameters for data analytics…"
MATILLION||DM-DATA-INTEGRATION,Larsen & Toubro Infotech Limited,India,None,3 days ago,"8-10 years in Data warehouse, Data engineering, or similar roles working with backend systems and large, disparate, and complex datasets Must have 1+ years…"
Data Science Internship,SkillBit,"Pune, Maharashtra","₹5,000 a month",1 day ago,"Working on data science algorithms and AI concepts 2.
Processing of unstructured/structured data.
SkillBit is a leading staffing and recruitment company engaged…"
Senior Data Scientist,Levi Strauss & Co.,"Bengaluru, Karnataka",None,Today,"Promote data science at Levi Strauss & Co in relevant channels through networking, speeches, and publications.
Proficiency with Spark or MapReduce."
Data Science Internship,KUKbit Software Lab,"Pune, Maharashtra","₹15,000 a month",7 days ago,"Working on data science algorithms and AI concepts 2.
Processing of unstructured/structured data.
KUKbit Software Lab helps clients manage their cloud…"
Data Scientist,Ascendum,"Bengaluru, Karnataka",None,9 days ago,"Gather and understand data requirements, work in the team to achieve high quality data ingestion and build systems that can process the data, transform the data…"
Data Annotation part time job/internship at Bangalore,Tika Data Services Private Limited,"Bengaluru, Karnataka","₹5,000 - ₹8,500 a month",1 day ago,"Work on engaging in data entry 3.
Work on participating in psychology experiments for data annotation performance studies.
Have relevant skills and interests."
Data Science Engineer,Involvio,"Bengaluru, Karnataka",None,12 days ago,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.
Extending company's data with third party sources of information when needed."
Data Science Internship,MCaffeine,"Mumbai, Maharashtra","₹20,000 - ₹25,000 a month",6 days ago,"Get actionable insights from data which can be used real-time in all decision making of the company 2.
Strong inclination to roll up the sleeves and get things…"
Data Science Internship,Trium Info Solutions Private Limited,"Mumbai, Maharashtra","₹2,500 - ₹3,000 a month",3 days ago,"Performing data analysis, data gathering, and data cleaning 8.
Working on big data tools and engine 9.
Identifying trends and opportunities for growth through…"
Data Scientist,XPO Logistics,"Mumbai, Maharashtra",None,18 days ago,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…"
Data Science Internship,RPDS Innovations Private Limited,"Pune, Maharashtra","₹10,000 - ₹20,000 a month",9 days ago,"Selected intern's day-to-day responsibilities include working with very large data sets (both structured and unstructured) and design, develop and implement R&D…"
"Sr. Data Scientist - R, Python, Machine Learning",DataMetica,"Pune, Maharashtra",None,Just posted,"Experience of handling various data types and structures: structured and unstructured data, static and streaming data.
Experience - 4 to 6 years."
Data Scientist I,Ola Cabs,India,None,16 days ago,Ability to transform business requirements into data science formulations and implement the solutions in an efficient and scalable fashion.
Data Science Internship,Aapoon Digital Private Limited,"Secunderabad, Telangana","₹5,000 a month",4 days ago,"Assisting members of the department with data science tasks.
Exploring cloud migration of data analytics activity 3.
Srini Katta is the founder & CEO."
Data Science Internship,Vision Insight,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month",10 days ago,"Get the pain, time, and effort out of your data engineering using our proprietary master data management system that uses artificial intelligence to sync data…"
Data Science Internship,Wasserstoff Private Limited,"Gurgaon, Haryana","₹10,000 a month",3 days ago,"Analyzing huge data sets and build prediction models 3.
We are a software development organisation.
We focus on start of the art solutions for intricate…"
Data Engineer I,Acko General Insurance Limited,"Bengaluru, Karnataka",None,4 days ago,"Collaborate with analytics/data science teams on data mart optimizations, query tuning, database design and Data Modeling."
Data Scientist,Larsen & Toubro Infotech Limited,"Bengaluru, Karnataka",None,4 days ago,"Must have minimum of 4+ years of industry experience in developing data science models.
""Responsibilities: Passion for learning new technologies and be up to…"
